Genre,Game Name,Earnings,Players,Tournaments
Sports,FIFA 17,1487809.08,135,49
Sports,FIFA 18,2233697.69,235,48
Sports,FIFA 19,3287686.79,331,53
Sports,FIFA 20,2598643.56,363,67
Sports,FIFA 2000,50000.00,4,1
Sports,FIFA 2001,46000.00,9,2
Sports,FIFA 2002 World Cup,47000.00,11,2
Sports,FIFA 21,4855659.11,434,63
Sports,FIFA 22,4629302.53,433,76
Sports,FIFA 23,6197022.16,527,99
Sports,FIFA Online 3,1937542.85,124,25
Sports,FIFA Online 4,4087518.33,427,67
Sports,Football Manager 2024,0.00,0,0
Sports,GOALS,1841.26,4,1
Sports,GOLF Plus,5000.00,4,1
Sports,Golf With Your Friends,19400.00,11,2
Sports,Gran Turismo 7,21387.05,15,5
Sports,Gym Masters VR,500.00,4,1
Sports,Just Hoops,0.00,0,0
Sports,Madden NFL 06,100000.00,1 Player,1
Sports,Madden NFL 07,100000.00,1 Player,1
Sports,Madden NFL 08,100000.00,1 Player,1
Sports,Madden NFL 09,100000.00,1 Player,1
Sports,Madden NFL 13,400000.00,8,1
Sports,Madden NFL 16,50000.00,8,1
Sports,Madden NFL 17,1004000.00,42,5
Sports,Madden NFL 18,423676.62,40,3
Sports,Madden NFL 19,1269992.00,45,5
Sports,Madden NFL 20,923000.00,38,2
Sports,Madden NFL 2004,1500.00,3,1
Sports,Madden NFL 21,1280000.00,66,6
Sports,Madden NFL 22,1650000.00,37,4
Sports,Madden NFL 23,1700000.00,37,4
Sports,Madden NFL 24,1700000.00,86,6
Sports,Madden NFL 25,100000.00,8,1
Sports,Mario Tennis Aces,61.30,6,2
Sports,NBA 2K Online,0.00,0,0
Sports,NBA 2K Online 2,0.00,0,0
Sports,NBA 2K18,1000000.00,91,4
Sports,NBA 2K19,1330000.00,78,4
Sports,NBA 2K20,250000.00,1 Player,1
Sports,NBA 2K21,1330501.00,64,3
Sports,NBA 2K22,2650000.00,92,7
Sports,NBA 2K23,2925000.00,105,9
Sports,NHL '94,3818.56,16,8
Sports,NHL 12,702.93,6,2
Sports,NHL 13,70000.00,1 Player,1
Sports,NHL 14,3023.96,6,3
Sports,NHL 15,3157.16,3,3
Sports,NHL 17,0.00,0,0
Sports,NHL 18,102700.00,20,6
Sports,NHL 19,22566.67,10,8
Sports,NHL 23,105250.00,12,4
Sports,Nock,4050.00,12,2
Sports,Pro Evolution Soccer 2008,2084.15,6,3
Sports,Pro Evolution Soccer 2009,1395.97,5,2
Sports,Pro Evolution Soccer 2013,0.00,0,0
Sports,Pro Evolution Soccer 2014,29410.25,4,1
Sports,Pro Evolution Soccer 2015,26544.76,3,1
Sports,Pro Evolution Soccer 2016,27243.84,17,6
Sports,Pro Evolution Soccer 2017,514697.71,39,16
Sports,Pro Evolution Soccer 2018,250000.00,20,3
Sports,Pro Evolution Soccer 2019,216000.00,25,2
Sports,Pro Evolution Soccer 3,25000.00,8,2
Sports,Pro Evolution Soccer 4,40550.64,11,2
Sports,Pro Evolution Soccer 5,32000.00,4,1
Sports,Pro Evolution Soccer 6,20216.82,5,2
Sports,Racket: NX,500.00,3,1
Sports,Ragnaröck,0.00,0,0
Sports,Rezzil Player,61650.00,19,12
Sports,Rocket League,58146566.86,10476,5373
Sports,Rocket League Sideswipe,63500.00,32,4
Sports,Roller Champions,8538.95,60,19
Sports,Slapshot Rebound,1008.27,28,9
Sports,Soccer Stars,0.00,0,0
Sports,SuperPlayer,1000.00,3,1
Sports,Tony Hawk's Project 8,20000.00,3,1
Sports,Walkabout Mini Golf,2000.00,7,2
Sports,Zwift,65370.76,10,7
Collectible Card Game,Artifact Classic,120567.26,286,192
Collectible Card Game,Artifact Foundry,1174.50,21,12
Collectible Card Game,Faeria,75182.14,65,46
Collectible Card Game,Gwent,1544697.17,350,123
Collectible Card Game,Hand of the Gods,94434.20,48,36
Collectible Card Game,Hearthstone,31383483.48,3193,1179
Collectible Card Game,Hearthstone Battlegrounds,1769904.03,309,61
Collectible Card Game,"KARDS, The World War II Card Game",0.00,0,0
Collectible Card Game,Legends of Runeterra,718091.03,284,33
Collectible Card Game,Magic: The Gathering Arena,9794000.00,355,63
Collectible Card Game,Magic: The Gathering Online,1818000.00,173,16
Collectible Card Game,MARVEL SNAP,5000.00,60,29
Collectible Card Game,Mythgard,3000.00,9,3
Collectible Card Game,Parallel,0.00,0,0
Collectible Card Game,Pokémon TCG,0.00,0,0
Collectible Card Game,Pokémon TCG Pocket,15137.85,597,185
Collectible Card Game,Shadowverse,5508473.29,248,44
Collectible Card Game,Shardbound,0.00,0,0
Collectible Card Game,The Elder Scrolls: Legends,5000.00,3,1
Collectible Card Game,Yu-Gi-Oh! Duel Links,48746.72,328,219
Puzzle Game,Catherine,1545.00,11,7
Puzzle Game,Catherine: Full Body,185.00,3,1
Puzzle Game,Cultris II,190.95,3,1
Puzzle Game,Jstris,275.00,12,2
Puzzle Game,Magical Drop III,130.00,3,1
Puzzle Game,Microsoft Excel,114400.00,86,43
Puzzle Game,Pac-man,0.00,0,0
Puzzle Game,Panel Attack,140.00,5,2
Puzzle Game,Puyo Puyo Champions,2482.30,14,5
Puzzle Game,Puyo Puyo Tetris,3422.84,31,16
Puzzle Game,Puyo Puyo Tetris 2,1897.64,14,3
Puzzle Game,Tetr.io,18698.30,39,18
Puzzle Game,Tetris,332834.62,184,134
Puzzle Game,Tetris Effect: Connected,13029.88,35,12
Puzzle Game,Tetris Ultimate,221.00,3,1
Puzzle Game,Twinkle Star Sprites,150.00,4,2
Puzzle Game,Wise Star 2,11000.00,3,1
Battle Royale,Apex Legends,31803237.01,2386,740
Battle Royale,Apex Legends Mobile,0.00,0,0
Battle Royale,Ark: Survival Of The Fittest,0.00,0,0
Battle Royale,Fall Guys,340273.83,250,7
Battle Royale,Farlight 84,0.00,0,0
Battle Royale,Fortnite,209108965.33,11509,2674
Battle Royale,Free Fire,22258992.14,1829,100
Battle Royale,H1Z1,2067122.00,119,13
Battle Royale,Penguin Paradise,0.00,0,0
Battle Royale,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,89785122.22,4312,344
Battle Royale,PLAYERUNKNOWN’S BATTLEGROUNDS,67037707.91,4017,642
Battle Royale,Radical Heights,120000.00,12,2
Battle Royale,Ring of Elysium,70000.00,9,4
Battle Royale,Rocket Arena,100000.00,24,3
Battle Royale,Rules Of Survival,656000.00,0,4
Battle Royale,Spellbreak,50000.00,42,1
Battle Royale,Super People,144526.00,95,11
Third-Person Shooter,Gears 5,2320920.00,163,112
Third-Person Shooter,Gears of War,252195.57,33,18
Third-Person Shooter,Gears of War 2,135000.00,0,5
Third-Person Shooter,Gears of War 3,7255.81,13,4
Third-Person Shooter,Gears of War 4,3142785.00,155,152
Third-Person Shooter,Gears of War: Ultimate Edition,170000.00,39,3
Third-Person Shooter,Knockout City,0.00,0,0
Third-Person Shooter,Marvel Rivals,14500.00,24,1
Third-Person Shooter,Mobile Suit Gundam: Extreme Vs Maxi Boost ON,420.00,12,2
Third-Person Shooter,PARAVOX,0.00,0,0
Third-Person Shooter,Paravox,0.00,0,0
Third-Person Shooter,PARAVOX,0.00,0,0
Third-Person Shooter,Rogue Company,98110.00,50,4
Third-Person Shooter,The Division 2,27250.00,40,2
Music / Rhythm Game,Audio Trip,650.00,4,2
Music / Rhythm Game,Beat Saber,16692.06,63,11
Music / Rhythm Game,Groove Gunner,0.00,0,0
Music / Rhythm Game,Guitar Hero 5,29218.00,7,3
Music / Rhythm Game,Guitar Hero III: Legends of Rock,36500.00,11,3
Music / Rhythm Game,Guitar Hero: World Tour,12000.00,3,1
Music / Rhythm Game,Just Dance 2014,0.00,3,1
Music / Rhythm Game,osu!,341930.28,1159,286
Music / Rhythm Game,Synth Riders,2100.00,11,7
